config_index,env,strategy_label,w_entropy,w_progress,w_variance,alpha,epsilon,epsilon_decay,gamma,seed,final_reward,convergence_episode,avg_unique_states
1,Unlock,novelty_wE0.3_wP0.4_wV0.3_a0.3_eps0.8_decay0.9995_g0.99,0.3,0.4,0.3,0.3,0.8,0.9995,0.99,0,0.656475,3396,15
2,Unlock,novelty_wE0.3_wP0.4_wV0.3_a0.2_eps0.8_decay0.999_g0.95,0.3,0.4,0.3,0.2,0.8,0.999,0.95,0,0.711675,3840,14
3,Unlock,novelty_wE0.3_wP0.4_wV0.3_a0.2_eps1.0_decay0.9995_g0.9,0.3,0.4,0.3,0.2,1.0,0.9995,0.9,0,0.723294,3276,15
4,Unlock,novelty_wE0.4_wP0.4_wV0.2_a0.1_eps1.0_decay0.9999_g0.99,0.4,0.4,0.2,0.1,1.0,0.9999,0.99,0,0.658644,9457,18
5,Unlock,novelty_wE0.4_wP0.4_wV0.2_a0.07_eps0.6_decay0.999_g0.99,0.4,0.4,0.2,0.07,0.6,0.999,0.99,0,0.646975,8813,16
6,Unlock,novelty_wE0.4_wP0.4_wV0.2_a0.07_eps0.8_decay0.9999_g0.95,0.4,0.4,0.2,0.07,0.8,0.9999,0.95,0,0.567525,10511,17
7,Unlock,novelty_wE0.4_wP0.4_wV0.2_a0.3_eps0.8_decay0.9999_g0.99,0.4,0.4,0.2,0.3,0.8,0.9999,0.99,0,0.260244,15746,19
8,Unlock,novelty_wE0.4_wP0.4_wV0.2_a0.3_eps0.6_decay0.999_g0.9,0.4,0.4,0.2,0.3,0.6,0.999,0.9,0,0.502700,5097,15
9,Unlock,novelty_wE0.3_wP0.4_wV0.3_a0.3_eps0.6_decay0.9999_g0.99,0.3,0.4,0.3,0.3,0.6,0.9999,0.99,0,0.031806,5796,16
10,Unlock,novelty_wE0.4_wP0.4_wV0.2_a0.3_eps0.6_decay0.9999_g0.99,0.4,0.4,0.2,0.3,0.6,0.9999,0.99,0,-0.113700,8635,17
11,Unlock,novelty_wE0.2_wP0.6_wV0.2_a0.07_eps1.0_decay0.999_g0.99,0.2,0.6,0.2,0.07,1.0,0.999,0.99,0,0.902094,5329,15
12,Unlock,novelty_wE0.4_wP0.4_wV0.2_a0.07_eps0.6_decay0.999_g0.9,0.4,0.4,0.2,0.07,0.6,0.999,0.9,0,0.595669,8627,16
13,Unlock,novelty_wE0.3_wP0.4_wV0.3_a0.3_eps0.6_decay0.9999_g0.9,0.3,0.4,0.3,0.3,0.6,0.9999,0.9,0,0.673387,5558,15
14,Unlock,novelty_wE0.2_wP0.6_wV0.2_a0.07_eps0.8_decay0.9995_g0.95,0.2,0.6,0.2,0.07,0.8,0.9995,0.95,0,0.869850,5659,15
15,Unlock,novelty_wE0.2_wP0.6_wV0.2_a0.2_eps1.0_decay0.9999_g0.9,0.2,0.6,0.2,0.2,1.0,0.9999,0.9,0,0.895400,9003,17
16,Unlock,novelty_wE0.3_wP0.4_wV0.3_a0.1_eps0.8_decay0.999_g0.95,0.3,0.4,0.3,0.1,0.8,0.999,0.95,0,0.791256,5303,15
17,Unlock,novelty_wE0.4_wP0.4_wV0.2_a0.2_eps1.0_decay0.9999_g0.9,0.4,0.4,0.2,0.2,1.0,0.9999,0.9,0,0.609044,9003,18
18,Unlock,novelty_wE0.3_wP0.4_wV0.3_a0.07_eps0.8_decay0.9999_g0.95,0.3,0.4,0.3,0.07,0.8,0.9999,0.95,0,0.782725,8900,17
19,Unlock,novelty_wE0.2_wP0.6_wV0.2_a0.2_eps0.6_decay0.999_g0.95,0.2,0.6,0.2,0.2,0.6,0.999,0.95,0,0.824294,3260,14
20,Unlock,novelty_wE0.4_wP0.4_wV0.2_a0.07_eps1.0_decay0.9995_g0.95,0.4,0.4,0.2,0.07,1.0,0.9995,0.95,0,0.613512,9172,16
